Hole ID,From,To,Lithology,2nd lithology,comment,Valid_Lith,fine_coarse,Sequence_Strat
IP-47,4,12,Sand,NA,NA,Sand,Coarse,Sand II
IP-47,12,14,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-47,14,18,Clay,NA,NA,Clay,Fine,Clayey Sand III
IP-47,18,22,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-47,22,28,Clay,NA,NA,Clay,Fine,Clay I
IP-47,28,35,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-47,35,48,Sand,NA,NA,Sand,Coarse,Sand I
IP-47,48,49,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-46,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-46,6,12,Sand,NA,NA,Sand,Coarse,Sand II
IP-46,12,20,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-46,20,30,Clay,NA,NA,Clay,Fine,Clay I
IP-46,30,34,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-46,34,50,Sand,NA,NA,Sand,Coarse,Sand I
IP-46,50,51,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-45,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-45,6,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-45,10,14,Clay,NA,NA,Clay,Fine,Clay Ia
IP-45,14,30,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-45,30,34,Clay,NA,NA,Clay,Fine,Clay I
IP-45,34,38,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-45,38,42,Sand,NA,NA,Sand,Coarse,Sand I
IP-45,42,46,Clay,NA,NA,Clay,Fine,Clayey Sand I
IP-45,46,52,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-45,52,53,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-44,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-44,6,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-44,10,16,Sand,NA,NA,Sand,Coarse,Sand II
IP-44,16,22,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-44,22,30,Clay,NA,NA,Clay,Fine,Clay I
IP-44,30,38,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-44,38,48,Sand,NA,NA,Sand,Coarse,Sand I 
IP-44,48,49,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-43,0,8,Clay,NA,NA,Clay,Fine,Clay II
IP-43,8,18,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-43,18,32,Clay,NA,NA,Clay,Fine,Clay I
IP-43,32,40,Sand,NA,NA,Sand,Coarse,Sand I
IP-43,40,42,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-43,42,44,Clay,NA,NA,Clay,Fine,Clayey Sand I
IP-43,44,46,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand I
IP-43,46,47,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-42,0,6,Clay,NA,NA,Clay,Fine,Clay II
IP-42,6,16,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand III
IP-42,16,22,Clay,NA,NA,Clay,Fine,Clay I
IP-42,22,24,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clay I
IP-42,24,30,Clay,NA,NA,Clay,Fine,Clay I
IP-42,30,32,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-42,32,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-42,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-40,0,5,Clay,NA,NA,Clay,Fine,Clay II
IP-40,5,10,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
IP-40,10,18,Sand,NA,NA,Sand,Coarse,Sand II
IP-40,18,29,Clay,NA,NA,Clay,Fine,Clay I
IP-40,29,31,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand II
IP-40,31,44,Sand,NA,NA,Sand,Coarse,Sand I
IP-40,44,45,NA,NA,NA,Termination/Refusal,Fine,Basal Clay
IP-39,0,4,Clay,NA,NA,Clay,Fine,Clay II
IP-39,4,14,Clayey Sand,NA,NA,Clayey Sand,Coarse,Clayey Sand IV
