Hole ID,From,To,Lithology,2nd_lithology,comment
IP-16,11,20,Clayey Sand,NA,NA
IP-16,20,33,Sand,NA,NA
IP-16,33,40,Sand,NA,NA
IP-08,0,2,Clay,NA,NA
IP-08,2,9,Clayey Sand,NA,NA
IP-08,9,12,Clay,NA,NA
IP-08,12,20,Clayey Sand,NA,NA
IP-08,20,30,Clay,NA,NA
IP-08,30,44,Sand,NA,NA
IP-07,0,5,Clay,NA,NA
IP-07,5,18,Clayey Sand,NA,NA
IP-07,18,30,Clay,NA,NA
IP-07,30,40,Sand,NA,NA
IP-07,40,44,Clayey Sand,NA,NA
IP-02,0,2,Clay,NA,NA
IP-02,2,10,Clayey Sand,NA,NA
IP-02,10,20,Sand,NA,NA
IP-02,20,28,Clay,NA,NA
IP-02,28,40,Sand,NA,NA
IP-02,40,44,Clayey Sand,NA,NA
IP-01,0,2,Clay,NA,NA
IP-01,2,8,Clayey Sand,NA,NA
IP-01,8,13,Clay,NA,NA
IP-01,13,22,Sand,NA,NA
IP-01,22,28,Clay,NA,NA
IP-01,28,40,Sand,NA,NA
IP-01,40,44,Clayey Sand,NA,NA
IP-04,0,2,Clay,NA,NA
IP-04,2,13,Clayey Sand,NA,NA
IP-04,13,16,Sand,NA,NA
IP-04,16,22,Clayey Sand,NA,NA
IP-04,22,28,Clay,NA,NA
IP-04,28,30,Clayey Sand,NA,NA
IP-04,30,42,Sand,NA,NA
IP-35,0,6,Clay,NA,NA
NA,6,12,Sand,NA,NA
NA,12,20,Clayey Sand,NA,NA
NA,20,24,Clay,NA,NA
NA,24,31,Clayey Sand,NA,NA
NA,31,48,Sand,NA,NA
